location,salary_min,salary_max,category,company
"Chennai, Tamil Nadu",,,IT Jobs,Hapag-Lloyd
"Chennai, Tamil Nadu",1000000.0,1500000.0,IT Jobs,SangatHR
"Chennai, Tamil Nadu",2000000.0,4800000.0,IT Jobs,Peak Hire Solutions
"Chennai, Tamil Nadu",4000000.0,4800000.0,IT Jobs,Peak Hire Solutions
"Chennai, Tamil Nadu",600000.0,2000000.0,IT Jobs,Ganit Business Solutions
"Chennai, Tamil Nadu",100000.0,1500000.0,IT Jobs,The Hub
"Chennai, Tamil Nadu",,,IT Jobs,People First Consultants
"Chennai, Tamil Nadu",,,IT Jobs,Infosys
"Chennai, Tamil Nadu",,,IT Jobs,UPS
"Egmore Nungambakkam, Chennai",,,HR & Recruitment Jobs,Insight Advisors Private Limited
"Chennai, Tamil Nadu",1000000.0,3000000.0,IT Jobs,Pluginlive
"Chennai, Tamil Nadu",1200000.0,1800000.0,IT Jobs,Mobile Programming LLC
"Chennai, Tamil Nadu",,,IT Jobs,UPS
"Chennai, Tamil Nadu",1000000.0,1500000.0,IT Jobs,Papigen
"Chennai, Tamil Nadu",1200000.0,2500000.0,IT Jobs,Ganit Business Solutions
"Chennai, Tamil Nadu",,,IT Jobs,Capco
"Chennai, Tamil Nadu",,,IT Jobs,Capco
"Chennai, Tamil Nadu",,,IT Jobs,Allime Tech Solutions
"Chennai, Tamil Nadu",,,IT Jobs,EXL
"Chennai, Tamil Nadu",200000.0,800000.0,IT Jobs,Klenty
"Chennai, Tamil Nadu",400000.0,1000000.0,IT Jobs,Klenty
"Chennai, Tamil Nadu",,,IT Jobs,Virtusa
"Chennai, Tamil Nadu",,,Consultancy Jobs,EXL
"Chennai, Tamil Nadu",,,IT Jobs,Photon Group
"Chennai, Tamil Nadu",,,IT Jobs,Trimble
"Chennai, Tamil Nadu",300000.0,1700000.0,IT Jobs,People First Consultants
"Chennai, Tamil Nadu",,,IT Jobs,EXL
"Chennai, Tamil Nadu",,,IT Jobs,Honeywell
"Chennai, Tamil Nadu",400000.0,1300000.0,IT Jobs,2coms
"Chennai, Tamil Nadu",,,IT Jobs,Citigroup
"Chennai, Tamil Nadu",,,Logistics & Warehouse Jobs,Capgemini
"Chennai, Tamil Nadu",,,IT Jobs,Cognizant
"Chennai, Tamil Nadu",1000000.0,2400000.0,IT Jobs,SOT-Science of talent Acquisition consulting services Pvt Ltd
"Chennai, Tamil Nadu",1300000.0,2500000.0,IT Jobs,SOT-Science of talent Acquisition consulting services Pvt Ltd
"Chennai, Tamil Nadu",300000.0,600000.0,IT Jobs,DailyWorks
"Chennai, Tamil Nadu",,,IT Jobs,Ford Motor
"Chennai, Tamil Nadu",,,IT Jobs,UPS
"Chennai, Tamil Nadu",,,IT Jobs,CDM Smith
"Chennai, Tamil Nadu",,,IT Jobs,Datamatics Technologies
"Chennai, Tamil Nadu",600000.0,1200000.0,IT Jobs,Coastal Aquaculture Research Institute Private Limited
"Chennai, Tamil Nadu",,,IT Jobs,Hitachi Solutions
"Chennai, Tamil Nadu",1000000.0,3000000.0,IT Jobs,AGILEAXIS
"Chennai, Tamil Nadu",300000.0,600000.0,IT Jobs,InteliTix Solutions Private Limited
"Chennai, Tamil Nadu",,,IT Jobs,Standard Chartered Bank
"Chennai, Tamil Nadu",,,IT Jobs,Firstsource
"Chennai, Tamil Nadu",,,IT Jobs,Kyndryl
"Chennai, Tamil Nadu",,,IT Jobs,Alight
"Chennai, Tamil Nadu",,,IT Jobs,UPS
"Chennai, Tamil Nadu",,,IT Jobs,Cognizant
"Chennai, Tamil Nadu",,,IT Jobs,UPS
"Chennai, Tamil Nadu",,,IT Jobs,Citigroup
"Chennai, Tamil Nadu",,,Accounting & Finance Jobs,People First Consultants
"Chennai, Tamil Nadu",,,IT Jobs,Impetus Technologies
"Chennai, Tamil Nadu",,,IT Jobs,UPS
